904.43, 38.9841, 15
Lego Number 0 distance 143.857, Lego Number 0 angle 29.228, Lego Number 1 distance 385.796, Lego Number 1 angle 25.3651, Lego Number 2 distance 165.018, Lego Number 2 angle 36.3491, Lego Number 3 distance 160.143, Lego Number 3 angle 5.32958, Lego Number 0 distance 143.918, Lego Number 0 angle 26.7893, Lego Number 1 distance 392.654, Lego Number 1 angle 26.2476, Lego Number 2 distance 163.998, Lego Number 2 angle 38.1197, Lego Number 3 distance 160.803, Lego Number 3 angle 6.70983, 858.094, 49.1359, 39, 3, 8, 20.8553, 4.36849, 82242327917395, 82184739194994, Lego Number 0 Variation Angle: 0, Lego Number 0 Variation Distance: 0, Lego Number 0 Closest Angle: 27.8884
Lego Number 0 Closest Distance: 143.137, Lego Number 0 Initial Placement Time: 10.3866, Lego Number 1 Variation Angle: 0, Lego Number 1 Variation Distance: 0, Lego Number 1 Closest Angle: 9.42917
Lego Number 1 Closest Distance: 41.5, Lego Number 1 Initial Placement Time: 13.7226, Lego Number 2 Variation Angle: 4.25994, Lego Number 2 Variation Distance: 2.9697, Lego Number 2 Closest Angle: 10.1428
Lego Number 2 Closest Distance: 161.5, Lego Number 2 Initial Placement Time: 13.7226, Lego Number 3 Variation Angle: 0, Lego Number 3 Variation Distance: 0, Lego Number 3 Closest Angle: 35.2798
Lego Number 3 Closest Distance: 163.5, Lego Number 3 Initial Placement Time: 17.1171, 
Lego Number 0 distance 0.0682571, Lego Number 0 angle 0, Lego Number 1 distance 0.250613, Lego Number 1 angle 0.3267, Lego Number 2 distance 0.999969, Lego Number 2 angle 0, Lego Number 3 distance 0.0117169, Lego Number 3 angle 0.243393, Lego Number 0 distance 0.180647, Lego Number 0 angle 0.211705, Lego Number 1 distance 0.351518, Lego Number 1 angle 0.220646, Lego Number 2 distance 0.0209418, Lego Number 2 angle 0.0907694, Lego Number 3 distance 0.430093, Lego Number 3 angle 0.244858, 1.15688, 1.28505, 12, 0, 0, 2.90007, 1.87694, 82330774501736, 82317830130009, Lego Number 0 Variation Angle: 0, Lego Number 0 Variation Distance: 0, Lego Number 0 Closest Angle: 0.0646682, Lego Number 0 Closest Distance: 0, Lego Number 0 Initial Placement Time: 0.426662, Lego Number 1 Variation Angle: 0, Lego Number 1 Variation Distance: 0, Lego Number 1 Closest Angle: 0.204602, Lego Number 1 Closest Distance: 0, Lego Number 1 Initial Placement Time: 0.426663, Lego Number 2 Variation Angle: 0, Lego Number 2 Variation Distance: 0, Lego Number 2 Closest Angle: 0.024084, Lego Number 2 Closest Distance: 0.25, Lego Number 2 Initial Placement Time: 0.426663, Lego Number 3 Variation Angle: 0, Lego Number 3 Variation Distance: 0, Lego Number 3 Closest Angle: 0.0510483, Lego Number 3 Closest Distance: 0, Lego Number 3 Initial Placement Time: 0.426664, 
Lego Number 0 distance 32.0677, Lego Number 0 angle 32.6938, Lego Number 1 distance 395.019, Lego Number 1 angle 6.34737, Lego Number 2 distance 283.701, Lego Number 2 angle 14.492, Lego Number 3 distance 100.007, Lego Number 3 angle 35.6285, 32.6909, 30.7544, 393.412, 6.55108, 286.158, 15.0319, 97.3556, 35.1999, 810.206, 45.5808, 37, 0, 9, 14.5807, 1.96754, 82489651472423, 82466206380464, 0, 0, 31.0806, 32, 2.3887, 0, 0, 5.88793, 70.452, 4.40825, 0, 0, 26.6119, 144.085, 6.51478, 0, 0, 34.6921, 97.5, 9.35625, 
Lego Number 0 distance 54.5171, Lego Number 0 angle 14.1458, Lego Number 1 distance 72.0496, Lego Number 1 angle 34.62, Lego Number 2 distance 8.28343, Lego Number 2 angle 13.2819, Lego Number 3 distance 72.6225, Lego Number 3 angle 13.601, 55.2522, 12.3195, 72.7911, 34.8589, 9.00254, 13.7983, 73.0668, 12.9509, 208.793, 38.8244, 34, 0, 12, 20.8113, 5.73662, 82518484288448, 82466206380464, 0, 0, 12.5461, 54.4753, 8.88687, 0, 0, 7.54994, 8, 11.6047, 0, 0, 13.1164, 72.5, 15.1012, 0, 0, 13.1712, 72, 18.4941, 
112.561, 24.6005, 242.537, 18.7687, 80.1789, 0.81813, 241.819, 18.4349, 107.748, 25.4077, 240.043, 20.4968, 78.3023, 0, 238.124, 17.2014, 670.657, 32.3111, 35, 0, 7, 2e-09, 7482, 1533241116770, 1533241130000, 0, 0, 24.2207, 109.266, -8.742e-06, 0, 13.5594, 19.2172, 176.5, -6.657e-06, 66.1836, 0, 0.221542, 78.4648, -3.854e-06, 0, 0, 18.0498, 156.5, -2.399e-06, 
160.581, 20.4099, 216.295, 4.57392, 149.699, 15.2253, 115.592, 8.87385, 159.635, 21.4622, 212.163, 3.19047, 146.23, 29.1481, 116.021, 8.28235, 638.108, 25.5415, 34, 0, 8, 1.3249e-05, 15815, 1.53324e+12, 1533241576916, 0, 0, 20.78, 45.5, 2.418e-06, 0, 0, 3.38455, 104, 4.495e-06, 0, 0, 8.02669, 115.5, 5.918e-06, 0, 0, 9.21452, 146, 8.752e-06, 
